Date,Dividends
2020-05-13,0.3
2016-11-16,0.165
2017-05-17,0.165
2017-11-16,0.195
2018-05-17,0.21
2018-11-15,0.25
2019-05-16,0.25
2019-11-14,0.3
2020-11-12,0.32
2016-05-11,0.14
2016-08-17,0.14
2017-02-15,0.165
2017-08-16,0.165
2018-02-15,0.21
2018-08-16,0.21
2019-02-14,0.25
2019-08-15,0.25
2020-02-13,0.3
2020-08-13,0.3
2021-02-11,0.32
