Date,Open,High,Low,Close,Adj Close,Volume
2021-01-13,90.910004,103.000000,90.010002,97.239998,97.239998,25159000
2021-01-14,103.500000,137.979996,101.000000,114.940002,114.940002,20858700
2021-01-15,123.054001,127.239998,107.000000,117.000000,117.000000,8310700
2021-01-19,117.000000,117.675003,108.000000,110.989998,110.989998,3304900
2021-01-20,110.000000,112.000000,103.250000,106.209999,106.209999,5091400
2021-01-21,107.160004,109.900002,104.300003,108.970001,108.970001,1735300
2021-01-22,107.190002,121.000000,107.190002,119.949997,119.949997,4343500
2021-01-25,117.110001,123.448997,108.000000,112.699997,112.699997,2660000
2021-01-26,113.839996,114.000000,109.510002,110.080002,110.080002,1287400
2021-01-27,105.739998,108.900002,100.800003,105.290001,105.290001,2259300
2021-01-28,105.000000,106.290001,97.205002,99.419998,99.419998,2097400
2021-01-29,100.000000,104.584000,97.599998,99.589996,99.589996,1836300
2021-02-01,100.000000,107.650002,99.624001,107.610001,107.610001,1266000
2021-02-02,110.000000,118.800003,110.000000,113.000000,113.000000,1875600
2021-02-03,115.950996,115.989998,109.099998,110.949997,110.949997,1451700
2021-02-04,110.059998,110.500000,106.379997,108.769997,108.769997,1692700
2021-02-05,108.830002,109.413002,101.250000,103.449997,103.449997,2923800
2021-02-08,109.459999,123.500000,109.000000,122.760002,122.760002,3417400
2021-02-09,121.489998,144.899994,117.040001,131.000000,131.000000,4056800
2021-02-10,141.949997,146.899994,129.000000,136.229996,136.229996,2353000
2021-02-11,140.000000,140.500000,131.160004,139.990005,139.990005,2240500
2021-02-12,129.639999,131.669998,123.010002,125.889999,125.889999,4884800
2021-02-16,129.300003,129.300003,115.000000,119.150002,119.150002,5642300
2021-02-17,116.629997,117.500000,110.800003,112.529999,112.529999,2786700
2021-02-18,109.639999,109.949997,104.610001,105.550003,105.550003,3589200
2021-02-19,110.290001,110.750000,105.000000,105.989998,105.989998,2973900
2021-02-22,105.010002,105.720001,102.000000,104.830002,104.830002,2955600
2021-02-23,99.260002,102.349998,91.099998,102.010002,102.010002,4105200
2021-02-24,99.279999,103.750000,98.705002,102.489998,102.489998,1894100
2021-02-25,99.930000,101.000000,90.000000,94.195000,94.195000,5472000
2021-02-26,92.180000,97.820000,91.029999,93.059998,93.059998,2596700
2021-03-01,95.500000,96.349998,90.809998,91.440002,91.440002,2913300
2021-03-02,92.699997,98.190002,91.000000,91.800003,91.800003,3724400
2021-03-03,91.650002,92.379997,83.930000,86.309998,86.309998,6070900
2021-03-04,85.000000,85.449997,77.099998,84.459999,84.459999,5595900
2021-03-05,82.824997,83.040001,70.050003,81.139999,81.139999,5373900
2021-03-08,80.084000,80.250000,72.949997,74.309998,74.309998,3749700
2021-03-09,77.250000,81.180000,75.779999,79.660004,79.660004,3708400
2021-03-10,82.705002,85.190002,78.300003,80.760002,80.760002,2128000
2021-03-11,82.360001,83.500000,80.250000,81.250000,81.250000,2217300
2021-03-12,78.000000,80.074997,76.010002,79.570000,79.570000,2217600
2021-03-15,80.000000,82.779999,79.000000,81.349998,81.349998,1885200
2021-03-16,82.220001,84.199997,79.500000,80.800003,80.800003,1586000
2021-03-17,78.989998,81.339996,76.769997,81.089996,81.089996,1416000
2021-03-18,79.870003,80.470001,73.099998,74.389999,74.389999,4230700
2021-03-19,74.158997,78.510002,71.510002,77.370003,77.370003,3182100
2021-03-22,77.809998,83.459999,77.809998,81.989998,81.989998,2158000
2021-03-23,81.220001,81.750000,78.199997,78.870003,78.870003,963800
2021-03-24,79.480003,79.800003,72.519997,72.629997,72.629997,1555000
2021-03-25,70.620003,71.300003,67.720001,69.559998,69.559998,2244400
2021-03-26,70.000000,72.370003,67.019997,69.720001,69.720001,1470300
2021-03-29,69.720001,73.919998,68.669998,69.989998,69.989998,1984400
2021-03-30,69.686996,69.740997,65.769997,66.389999,66.389999,2254700
2021-03-31,67.713997,71.199997,65.650002,70.720001,70.720001,2296000
2021-04-01,73.000000,74.970001,70.370003,71.449997,71.449997,1661000
2021-04-05,71.739998,72.407997,68.400002,69.389999,69.389999,1154800
2021-04-06,70.370003,73.500000,69.699997,73.000000,73.000000,1909100
2021-04-07,72.731003,72.731003,69.750000,71.500000,71.500000,1226300
