Date,Open,High,Low,Close,Adj Close,Volume
2016-04-08,94.089996,94.660004,93.419998,93.790001,91.104935,2564000
2016-04-11,93.919998,94.680000,93.389999,93.470001,90.794113,3858200
2016-04-12,93.760002,93.989998,93.139999,93.860001,91.172943,2673700
2016-04-13,94.500000,95.750000,94.389999,95.750000,93.008835,3698600
2016-04-14,95.720001,96.769997,95.410004,96.169998,93.416824,3292200
2016-04-15,96.250000,97.309998,96.139999,96.680000,93.912224,4127600
2016-04-18,96.639999,97.790001,96.599998,97.669998,94.873856,3079700
2016-04-19,98.000000,98.160004,96.349998,97.239998,94.456184,3635900
2016-04-20,97.660004,98.400002,97.050003,97.900002,95.097313,3627300
2016-04-21,97.949997,98.089996,97.349998,97.540001,94.747589,2913600
2016-04-22,96.389999,98.489998,96.389999,97.449997,94.660179,7176300
2016-04-25,96.790001,97.320000,96.540001,96.980003,94.203629,3276100
2016-04-26,97.160004,97.610001,96.730003,97.269997,94.485313,2929200
2016-04-27,97.239998,98.610001,96.550003,98.379997,95.563553,5211900
2016-04-28,97.940002,100.000000,96.730003,97.180000,94.397911,6261400
2016-04-29,96.830002,97.660004,96.080002,96.989998,94.213341,5338500
2016-05-02,97.150002,97.940002,96.489998,97.769997,94.971001,3813100
2016-05-03,97.010002,97.540001,95.919998,96.449997,93.688797,3362100
2016-05-04,95.720001,96.389999,95.230003,96.250000,93.494530,3187500
2016-05-05,96.339996,96.830002,95.959999,96.190002,93.436249,2848600
2016-05-06,95.800003,96.760002,95.650002,96.680000,93.912224,2042700
2016-05-09,96.809998,97.250000,96.500000,96.720001,93.951073,1972600
2016-05-10,96.779999,97.699997,96.690002,97.639999,94.844727,1903500
2016-05-11,97.639999,97.839996,96.360001,96.410004,93.649933,2540600
2016-05-12,96.739998,96.820000,95.239998,95.849998,93.105980,4216800
2016-05-13,95.589996,96.279999,95.139999,95.360001,92.629997,3371600
2016-05-16,95.599998,96.519997,95.449997,96.150002,93.397392,2273600
2016-05-17,95.980003,96.290001,95.260002,95.599998,92.863144,3463300
2016-05-18,95.330002,96.169998,94.870003,95.629997,92.892273,2469900
2016-05-19,95.139999,95.500000,94.080002,94.699997,91.988907,2268900
2016-05-20,95.169998,95.889999,95.029999,95.470001,92.736855,2446700
2016-05-23,95.510002,95.730003,94.989998,95.080002,92.358025,2231800
2016-05-24,95.529999,96.739998,95.330002,96.480003,93.717934,2446500
2016-05-25,96.779999,96.900002,96.139999,96.449997,93.688797,2689500
2016-05-26,96.540001,96.730003,96.070000,96.379997,93.620789,1738300
2016-05-27,96.529999,97.180000,96.379997,97.180000,94.397911,2724300
2016-05-31,97.180000,97.199997,95.599998,95.900002,93.154541,4028800
2016-06-01,95.900002,96.540001,95.250000,96.410004,93.649933,2677500
2016-06-02,96.269997,96.879997,96.010002,96.879997,94.106483,2662100
2016-06-03,96.209999,96.610001,95.330002,96.029999,93.280830,2814800
2016-06-06,96.400002,96.970001,95.980003,96.639999,93.873344,2160700
2016-06-07,96.589996,97.169998,96.440002,96.680000,93.912224,2394900
2016-06-08,96.650002,97.989998,96.570000,97.989998,95.184692,4365200
2016-06-09,97.510002,97.629997,96.980003,97.019997,94.242477,2044700
2016-06-10,96.000000,96.089996,94.900002,95.209999,92.484322,4080700
2016-06-13,94.730003,95.629997,94.160004,94.190002,91.493500,3082200
2016-06-14,93.870003,94.330002,93.349998,94.110001,91.415787,5338200
2016-06-15,94.360001,94.500000,93.339996,93.339996,90.667831,4025900
2016-06-16,92.930000,94.089996,92.050003,94.080002,91.386650,4976200
2016-06-17,93.980003,94.209999,92.690002,93.290001,90.619247,6941700
2016-06-20,94.500000,95.180000,94.250000,94.349998,91.648911,4949500
2016-06-21,94.680000,95.300003,94.470001,95.110001,92.387154,4203000
2016-06-22,95.230003,95.379997,94.059998,94.059998,91.367210,2876700
2016-06-23,95.150002,95.709999,94.610001,95.709999,92.969986,2992400
2016-06-24,91.480003,93.129997,91.139999,91.470001,88.851372,8356800
2016-06-27,90.269997,90.800003,88.820000,89.070000,86.520081,7444800
2016-06-28,90.279999,90.500000,89.720001,90.419998,87.831444,4820400
2016-06-29,91.040001,92.209999,90.849998,92.129997,89.492462,3987900
2016-06-30,92.610001,92.739998,87.589996,88.059998,85.538971,12706800
2016-07-01,89.160004,89.480003,88.269997,88.849998,86.306366,8342100
2016-07-05,88.120003,89.339996,87.919998,88.239998,85.713829,7077000
2016-07-06,87.160004,87.580002,86.650002,86.830002,84.526207,9412800
2016-07-07,86.949997,88.320000,86.949997,87.809998,85.480209,4707200
2016-07-08,88.430000,88.690002,87.940002,88.559998,86.210304,5621800
2016-07-11,89.050003,89.309998,88.629997,88.750000,86.395279,5274700
2016-07-12,89.080002,90.080002,88.870003,90.000000,87.612106,6122200
2016-07-13,90.459999,90.559998,89.639999,90.339996,87.943085,3996900
2016-07-14,91.320000,91.650002,90.510002,91.449997,89.023636,4240100
2016-07-15,92.029999,92.029999,90.720001,90.930000,88.517426,3262400
2016-07-18,91.180000,91.639999,90.839996,91.599998,89.169647,3407300
2016-07-19,91.209999,92.410004,91.209999,92.379997,89.928940,3423800
2016-07-20,92.559998,93.440002,92.150002,93.300003,90.824554,3794100
2016-07-21,93.000000,93.669998,92.029999,92.459999,90.006828,4305900
2016-07-22,92.660004,93.660004,92.110001,93.660004,91.175003,4348200
2016-07-25,93.599998,93.599998,92.540001,93.000000,90.532516,3773500
2016-07-26,92.779999,93.669998,92.750000,93.430000,90.951080,4469600
2016-07-27,93.529999,94.300003,92.750000,93.750000,91.262611,5696800
2016-07-28,95.000000,96.500000,94.559998,96.010002,93.462646,5209400
2016-07-29,96.070000,96.099998,95.120003,95.239998,92.713066,4364100
2016-08-01,95.230003,95.470001,94.449997,95.070000,92.547585,3512100
2016-08-02,95.029999,95.389999,94.500000,95.250000,92.722801,3948600
2016-08-03,95.070000,95.449997,94.779999,95.080002,92.557320,3006100
2016-08-04,95.089996,96.050003,94.800003,95.910004,93.365295,2875600
2016-08-05,96.290001,96.940002,96.089996,96.879997,94.309547,2632200
2016-08-08,97.000000,97.099998,96.629997,96.779999,94.212219,2873000
2016-08-09,96.629997,97.139999,96.550003,96.699997,94.134315,1937100
2016-08-10,96.720001,96.820000,96.230003,96.290001,93.735214,2004700
2016-08-11,96.500000,96.919998,96.169998,96.529999,93.968849,2971100
2016-08-12,95.959999,96.410004,95.510002,96.120003,93.569717,1988600
2016-08-15,96.309998,96.559998,96.070000,96.440002,93.881218,2081200
2016-08-16,96.199997,96.260002,95.459999,95.620003,93.083000,2866200
2016-08-17,95.790001,96.070000,95.029999,95.589996,93.053787,4054700
2016-08-18,95.300003,95.870003,95.070000,95.269997,92.742264,3134200
2016-08-19,95.180000,95.290001,94.410004,95.220001,92.693581,3090800
2016-08-22,95.190002,95.949997,94.949997,95.790001,93.248474,2390800
2016-08-23,96.000000,96.760002,95.989998,96.290001,93.735214,3099700
2016-08-24,96.290001,96.470001,95.389999,95.529999,92.995392,2008100
2016-08-25,95.470001,95.809998,95.330002,95.589996,93.053787,1983000
2016-08-26,95.839996,97.000000,95.769997,96.470001,93.910439,3123100
2016-08-29,96.449997,96.849998,96.230003,96.779999,94.212219,2590200
2016-08-30,96.790001,97.190002,96.339996,97.089996,94.513977,2634100
2016-08-31,96.809998,97.089996,96.129997,96.629997,94.066200,3499300
2016-09-01,96.669998,97.699997,96.510002,97.620003,95.029930,4198100
2016-09-02,97.400002,98.099998,97.370003,97.889999,95.292740,2572400
2016-09-06,97.809998,98.910004,97.690002,98.790001,96.168861,3879300
2016-09-07,98.489998,99.599998,98.260002,99.570000,96.928185,4198200
2016-09-08,99.449997,100.669998,99.389999,99.980003,97.327309,4605400
2016-09-09,99.080002,99.690002,98.150002,98.150002,95.545868,5458500
2016-09-12,97.540001,100.320000,97.489998,100.110001,97.453857,4264300
2016-09-13,99.349998,100.059998,98.980003,99.389999,96.752953,4732200
2016-09-14,99.339996,99.629997,98.379997,98.709999,96.090988,4400300
2016-09-15,98.570000,99.820000,98.449997,99.470001,96.830833,3485700
2016-09-16,99.050003,99.690002,98.589996,99.360001,96.723747,4498800
2016-09-19,99.949997,100.389999,99.419998,99.680000,97.035271,3056900
2016-09-20,100.250000,100.919998,100.010002,100.489998,97.823784,3848700
2016-09-21,100.809998,101.309998,99.970001,101.260002,98.573349,3251900
2016-09-22,101.570000,102.230003,101.510002,102.120003,99.410522,3390600
2016-09-23,101.919998,102.099998,101.250000,101.660004,98.962746,2759400
2016-09-26,100.820000,101.830002,100.750000,101.160004,98.476013,3468900
2016-09-27,101.000000,101.650002,100.559998,101.449997,98.758301,3547700
2016-09-28,101.430000,101.580002,100.830002,101.510002,98.816719,3629500
2016-09-29,101.580002,102.309998,100.589996,100.610001,97.940605,3010000
2016-09-30,100.779999,102.230003,100.680000,101.769997,99.069817,5503900
2016-10-03,101.389999,102.379997,101.239998,101.879997,99.176903,3696700
2016-10-04,102.029999,102.209999,101.040001,101.220001,98.534416,2881900
2016-10-05,101.320000,102.669998,101.320000,102.400002,99.870590,3768100
2016-10-06,102.400002,103.169998,102.019997,102.940002,100.397232,3875600
2016-10-07,103.050003,103.489998,101.980003,102.250000,99.724274,4225600
2016-10-10,102.699997,103.370003,102.550003,102.650002,100.114388,2376500
2016-10-11,102.540001,102.629997,100.820000,101.349998,98.846504,3412900
2016-10-12,101.559998,101.910004,101.050003,101.360001,98.856255,3467800
2016-10-13,100.750000,101.489998,99.779999,100.650002,98.163818,3657400
2016-10-14,101.099998,102.199997,100.809998,100.879997,98.388115,3280200
2016-10-17,100.959999,101.260002,100.620003,100.849998,98.358856,1975500
2016-10-18,101.779999,102.120003,101.059998,101.730003,99.217117,2623700
2016-10-19,101.800003,102.849998,101.629997,102.730003,100.192421,3305200
2016-10-20,102.790001,103.370003,102.349998,102.550003,100.016853,2945300
2016-10-21,102.129997,103.000000,101.959999,102.849998,100.309471,3018800
2016-10-24,103.150002,103.919998,102.959999,103.190002,100.641052,2565600
2016-10-25,103.190002,103.239998,102.290001,102.879997,100.338699,4869300
2016-10-26,102.559998,103.459999,102.529999,103.220001,100.670326,3356000
2016-10-27,103.190002,104.300003,103.190002,103.599998,101.040909,5096100
2016-10-28,105.050003,107.830002,104.610001,106.900002,104.259422,9282800
2016-10-31,107.400002,108.930000,106.470001,107.019997,104.376442,5820000
2016-11-01,107.000000,107.120003,104.790001,104.959999,102.367317,7076500
2016-11-02,104.279999,105.000000,104.000000,104.000000,101.431046,3527500
2016-11-03,103.519997,104.459999,103.510002,103.779999,101.216469,3127300
2016-11-04,103.900002,104.430000,103.029999,103.029999,100.485016,3067200
2016-11-07,104.580002,106.029999,104.529999,105.959999,103.342621,3067500
2016-11-08,105.739998,106.470001,105.529999,105.699997,103.089050,2864300
2016-11-09,104.910004,106.449997,103.860001,106.190002,103.566940,4775000
2016-11-10,106.660004,107.139999,102.449997,104.500000,101.918686,6584300
2016-11-11,103.860001,105.059998,103.660004,104.620003,102.035736,3300300
